HH Profile_ID,Referral Code,HH Profile_Status,Registration_Date,Update_Date,Calculation_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
75,26FV,CONFIRMED,17/01/2024 10:26,17/01/2024 18:57,17/01/2024 18:44,17/01/2024 18:57,00:28:37,02:15:13,08:31:34,08:18:14,00:13:20,Able to afford with PAP scheme C,9.56558,10.2,5.1,2 (Low),2.8756,1,1.21,1.21,1,1.8,2.6,2.6,4.2,1.8,1.8,1.8,0.2,0.2,0.2,72,Làm nông,Không có / Chức vụ khác,Không,331.000,2,Samsung / Vivo / OPPO,Class 1,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
76,18UBNA,DOCUMENT_NEEDED,17/01/2024 10:53,18/01/2024 19:35,,,00:55:03,02:58:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
77,23UBHCM,CONFIRMED,17/01/2024 11:44,17/01/2024 20:10,17/01/2024 20:08,17/01/2024 20:10,24:04:29,02:19:11,08:25:57,08:24:15,00:01:42,Able to afford with PAP scheme A,32.618347,65.4,30.4,6 (High),6.06096,3,3.63,3.63,3,7,7.4,7.8,7.8,3.8,5.4,6.2,4.6,4.6,4.6,312,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,1.505.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
78,27DHYDHCM,DOCUMENT_NEEDED,17/01/2024 12:43,17/01/2024 18:29,,,00:29:11,00:43:41,,,,,18.268238,20.3,15.4,4 (Upper-Middle),4.58535,2,2.42,2.42,2,5.2,5.6,6,6.4,2.8,2.8,2.8,2.8,2.8,2.8,192,Khác,Nhân viên,Không,779.000,3,Apple,Class 3,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
79,30HMSG,PROCESSING,17/01/2024 14:27,18/01/2024 23:34,,,292:37:31,00:00:30,,,,,13.877998,15.4,10.2,3 (Middle),3.70731,2,2.42,2.42,2,2.8,3.6,4,4.8,2.8,2.8,2.8,1.2,1.2,1.2,156,Công nhân nhà máy,Nhân viên,Không,365.000,2,Apple,Class 2,Có,Class - 4 / 5,Sở hữu Căn hộ tầm trung,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
80,12PTW,RE_APPROVAL,17/01/2024 15:22,18/01/2024 21:47,,,00:37:39,00:19:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
81,12PTW,RE_APPROVAL,17/01/2024 15:41,18/01/2024 20:01,,,01:18:17,00:16:04,,,,,24.339867,30.4,20.3,5 (Upper),5.39999,3,3,3,3,6.2,6.6,7,7,3.8,5.4,5.4,3.8,3.8,3.8,240.1956,Nghỉ hưu,Không có / Chức vụ khác,Không,824.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
82,3QD108,RE_APPROVAL,17/01/2024 15:51,18/01/2024 10:00,,,00:53:12,00:12:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
83,3QD108,CONFIRMED,17/01/2024 16:15,18/01/2024 18:41,18/01/2024 18:29,18/01/2024 18:41,00:21:34,00:37:56,26:26:17,26:14:00,00:12:17,Able to afford with PAP scheme C,4.417052,5.1,0.1,1 (Very Low),1.86341,1,1,1,1,1.8,2.2,1.8,1.8,1.8,2.6,3.4,1.8,1.8,1.2,34.146,Nghỉ hưu,Không có / Chức vụ khác,Không,263.000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
84,1BVK,RE_APPROVAL,17/01/2024 16:23,18/01/2024 19:24,,,04:32:00,00:12:52,,,,,>=65,>=65,>=65,9 (Very High),9.43899,6,7.26,8.46,6.4,9.6,10.4,10.8,10.8,6.8,8.4,8.4,6.8,6.8,6.8,1800,Chủ doanh nghiệp,Chủ doanh nghiệp,Class 6,782.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
85,4UBHN,DOCUMENT_NEEDED,17/01/2024 16:47,18/01/2024 12:18,,,01:14:32,00:28:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
86,9QY103,DOCUMENT_NEEDED,17/01/2024 16:48,18/01/2024 14:33,,,01:14:35,00:19:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
87,3QD108,RE_APPROVAL,17/01/2024 17:07,19/01/2024 10:39,,,00:23:03,00:53:58,,,,,>=65,>=65,>=65,9 (Very High),9.36582,6,7.26,7.26,6,10,10.8,11.2,11.2,6.8,8.4,7.6,6,6,6,840,Bán buôn tự do,Không có / Chức vụ khác,Không,1.672.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Căn hộ chung cư,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
88,27DHYDHCM,RE_APPROVAL,17/01/2024 17:38,18/01/2024 16:37,,,01:15:16,00:31:12,,,,,19.343847,20.3,15.4,4 (Upper-Middle),4.80487,2,2.42,2.42,2.8,6,6,6.4,6.8,2.8,2.8,2.8,2.8,2.8,2.8,216,Công nhân nhà máy,Nhân viên,Class 5,769.000,4,Apple,Class 3,Có,,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
89,1BVK,DOCUMENT_NEEDED,17/01/2024 18:11,18/01/2024 20:21,,,33:20:21,00:14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
90,3QD108,DOCUMENT_NEEDED,17/01/2024 20:41,18/01/2024 21:11,,,04:21:26,13:41:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
91,4UBHN,RE_APPROVAL,17/01/2024 21:39,19/01/2024 00:14,,,00:16:08,00:15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
92,4UBHN,RE_APPROVAL,17/01/2024 21:45,18/01/2024 17:13,,,00:31:48,00:09:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
93,1BVK,RE_APPROVAL,17/01/2024 22:05,19/01/2024 01:16,,,00:45:18,00:34:00,,,,,4.758516,5.1,0.1,1 (Very Low),1.9317,1,1,1,1,1.8,1.8,2.2,2.2,1.8,3.4,4.2,2.6,2.6,2.6,100.812,Nghỉ hưu,Không có / Chức vụ khác,Không,230.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
94,1BVK,DOCUMENT_NEEDED,17/01/2024 23:55,18/01/2024 21:11,,,36:07:09,09:44:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
95,18UBNA,RE_APPROVAL,18/01/2024 08:46,18/01/2024 14:14,,,00:38:48,00:53:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
96,3QD108,CONFIRMING,18/01/2024 09:51,18/01/2024 17:53,18/01/2024 17:53,,22:39:34,01:40:55,,08:01:18,,Able to afford with PAP scheme A,60.39889,65.4,30.4,6 (High),6.82437,4,4.84,4.84,4,8,8,8.4,8.4,4.8,5.6,6.4,4.8,6.4,6.4,390,Lao động tự do,Không có / Chức vụ khác,Không,1.389.000,4,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
97,24QY175,DOCUMENT_NEEDED,18/01/2024 11:29,18/01/2024 14:08,,,167:39:35,00:13:35,,,,,19.272144,20.3,15.4,4 (Upper-Middle),4.79023,2,2.08,2.08,2,6,6.8,6.4,6.4,2.8,2.8,3.6,2,2,2,216,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Nhân viên,Không,880.000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
98,24QY175,DOCUMENT_NEEDED,18/01/2024 11:42,18/01/2024 14:11,,,00:19:47,00:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
99,23UBHCM,RE_APPROVAL,18/01/2024 12:07,18/01/2024 20:19,,,00:36:17,00:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
100,12PTW,RE_APPROVAL,18/01/2024 13:12,19/01/2024 08:29,,,00:20:24,00:37:05,,,,,>=65,>=65,>=65,8 (Very High),8.0951,5,6.05,6.05,5.4,8.6,9.4,9.8,9.8,5.8,7.4,6.6,6.6,6.6,6.6,540,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 6,800.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Căn hộ chung cư,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
101,4UBHN,RE_APPROVAL,18/01/2024 13:17,19/01/2024 08:02,,,00:44:53,00:43:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
102,24QY175,DOCUMENT_NEEDED,18/01/2024 14:12,18/01/2024 16:15,,,03:26:17,00:06:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
103,1BVK,DOCUMENT_NEEDED,18/01/2024 14:49,18/01/2024 16:12,,,00:34:47,00:12:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
104,12PTW,DOCUMENT_NEEDED,18/01/2024 14:53,18/01/2024 16:23,,,06:19:18,00:08:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
