HH Profile_ID,Referral Code,HH Profile_Status,Nb_Sub-profile_All,Nb_Sub-profile_Support,FirstOtp_Date,Registration_Date,Underwriting_Date,Update_Date,Completion_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
13,31UBCT,CONFIRMED,3,3,11/01/2024 14:47,11/01/2024 15:22,11/01/2024 15:45,17/01/2024 11:37,17/01/2024 11:33,17/01/2024 11:37,00:34:37,00:23:25,140:14:52,140:11:14,00:03:38,Able to afford with PAP scheme B,15.184358,15.4,10.2,3 (Middle),3.95853,1,1.21,1.21,1,5,5.4,5.8,5.8,1.8,1.8,2.6,4.2,4.2,4.2,84,Làm nông,Không có / Chức vụ khác,Không,984.000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
14,19UBDN,CONFIRMED,2,2,11/01/2024 15:05,11/01/2024 16:11,11/01/2024 16:15,29/01/2024 15:38,29/01/2024 15:27,29/01/2024 15:38,01:06:55,00:03:38,431:26:33,431:15:29,00:11:04,Able to afford with PAP scheme C,11.404848,15.4,10.2,3 (Middle),3.2317,1,1.21,1.21,1,3.4,4.2,4.6,4.6,1.8,2.6,3.4,3.4,3.4,3.4,78,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,691.000,2,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
15,31UBCT,CONFIRMED,2,2,11/01/2024 19:31,11/01/2024 20:04,11/01/2024 22:51,30/01/2024 17:21,30/01/2024 17:16,30/01/2024 17:21,00:32:08,02:47:12,453:16:53,453:12:24,00:04:29,Able to afford with PAP scheme C,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.2,2.2,1.8,1.8,1.8,0.2,0.2,0.2,18,Làm nông,Không có / Chức vụ khác,Không,211.000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
17,25VMHCM,CONFIRMED,4,3,12/01/2024 11:18,12/01/2024 13:53,12/01/2024 14:00,28/01/2024 10:02,22/01/2024 12:13,28/01/2024 10:02,02:34:50,00:06:38,380:09:20,238:20:10,141:49:10,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.42436,6,7.26,8.46,6,8.4,8.4,8.8,10.4,6.8,8.4,9.2,9.2,10.8,10.2,1440,Chủ doanh nghiệp,Chủ doanh nghiệp,Không,714.000,4,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
18,4UBHN,CONFIRMED,4,3,12/01/2024 10:40,12/01/2024 14:51,12/01/2024 14:59,15/01/2024 14:42,15/01/2024 14:41,15/01/2024 14:42,04:11:06,00:07:27,71:50:23,71:49:22,00:01:01,Able to afford with PAP scheme B,14.588242,15.4,10.2,3 (Middle),3.84389,2,2.42,2.42,2,4.4,4.4,4.8,4.8,2.8,4.4,4.4,2.8,4.4,4.4,161.16,Khác,Không có / Chức vụ khác,Không,703.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
20,24QY175,CONFIRMED,4,2,12/01/2024 19:37,12/01/2024 20:12,15/01/2024 09:03,15/01/2024 18:50,15/01/2024 18:43,15/01/2024 18:50,00:34:35,60:50:59,70:38:04,70:31:01,00:07:03,Able to afford with PAP scheme B,18.268238,20.3,15.4,4 (Upper-Middle),4.58535,2,2.42,2.42,2,6,6,6.4,6.4,2.8,2.8,2.8,1.2,1.2,1.8,190.8,Công chức nhà nước,Không có / Chức vụ khác,Không,1.076.000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
21,24QY175,CONFIRMED,3,3,12/01/2024 20:47,12/01/2024 21:37,13/01/2024 15:25,22/01/2024 12:19,22/01/2024 12:12,22/01/2024 12:19,00:50:16,17:47:51,230:41:17,230:34:30,00:06:47,Able to afford with PAP scheme C,3.990219,5.1,0.1,1 (Very Low),1.77804,1,1.21,1.21,1,1.8,2.2,2.2,2.2,1.8,1.8,1.8,0.2,0.2,0.2,84,Làm nông,Không có / Chức vụ khác,Class 7,380.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
22,3QD108,CONFIRMED,2,2,12/01/2024 16:43,13/01/2024 10:36,13/01/2024 15:23,16/01/2024 13:37,16/01/2024 11:30,16/01/2024 13:37,17:52:55,04:47:15,75:00:51,72:53:45,02:07:06,Able to afford with PAP scheme A,24.980368,30.4,20.3,5 (Upper),5.4634,2,2.42,2.82,2.4,6.4,7.2,7.2,7.2,2.8,3.6,6.8,5.2,6.8,6.8,204,Công chức nhà nước,Quản lý cấp trung,Class 6,1.300.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Căn hộ cao cấp,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
23,1BVK,CONFIRMED,4,3,12/01/2024 13:43,14/01/2024 14:33,14/01/2024 17:07,18/01/2024 11:37,18/01/2024 10:33,18/01/2024 11:37,48:50:30,02:34:09,93:04:19,92:00:19,01:04:00,Able to afford with PAP scheme C,3.5755873,5.1,0.1,1 (Very Low),1.69512,1,1.21,1.21,1,1.8,1.8,1.4,1.4,1.8,3.4,3.4,1.8,1.8,1.8,96,Làm nông,Không có / Chức vụ khác,Không,423.000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
24,4UBHN,CONFIRMED,3,3,14/01/2024 18:09,14/01/2024 18:28,15/01/2024 09:17,19/01/2024 19:13,17/01/2024 16:34,19/01/2024 19:13,00:18:41,14:48:57,120:45:11,70:05:37,50:39:34,Able to afford with PAP scheme A,29.759373,30.4,20.3,5 (Upper),5.93657,3,3.12,3.12,3,7,7.4,7.8,7.8,3.8,5.4,6.2,4.6,4.6,4,252,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Không,1.482.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng,0,0
25,1BVK,CONFIRMED,4,3,14/01/2024 14:35,14/01/2024 19:59,15/01/2024 15:04,29/01/2024 11:01,16/01/2024 15:07,29/01/2024 11:01,05:23:51,19:05:22,351:02:13,43:08:03,307:54:10,Able to afford with PAP scheme A,20.620098,30.4,20.3,5 (Upper),5.03169,3,3.63,3.63,3,5.4,5.4,5.8,5.8,3.8,5.4,5.4,5.4,7,7,300,Khác,Nhân viên,Không,600.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
26,31UBCT,CONFIRMED,5,5,12/01/2024 17:27,15/01/2024 10:34,15/01/2024 12:18,24/01/2024 17:05,24/01/2024 17:04,24/01/2024 17:05,65:06:20,01:44:10,222:31:40,222:30:14,00:01:26,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.14876,5,6.05,6.05,5,8.2,7.8,8.2,8.2,5.8,5.8,6.6,5,6.6,6.6,552,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,826.000,>4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
28,19UBDN,CONFIRMED,4,4,10/01/2024 15:59,15/01/2024 12:23,15/01/2024 16:18,26/01/2024 19:09,26/01/2024 18:41,26/01/2024 19:09,116:23:58,03:54:33,270:45:46,270:17:18,00:28:28,Able to afford with PAP scheme C,13.611677,15.4,10.2,3 (Middle),3.65609,1,1.21,1.21,1,5,5,5,5,1.8,3.4,4.2,5.8,5.8,5.8,60,Khác,Không có / Chức vụ khác,Không,917.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
29,24QY175,REJECTED,3,3,10/01/2024 20:32,15/01/2024 13:58,15/01/2024 16:22,24/01/2024 16:50,21/01/2024 17:20,24/01/2024 16:50,113:25:47,02:23:37,218:51:57,147:21:55,71:30:02,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.4707,6,7.26,7.26,6,10,10.4,10.8,10.8,6.8,8.4,10,10,11.6,12.2,780,Bán buôn tự do,Không có / Chức vụ khác,Không,2.740.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố lớn,Sở hữu 1 ngôi nhà khác,Có,Có khoản vay khác,0,0
30,24QY175,CONFIRMED,4,4,15/01/2024 13:47,15/01/2024 14:28,15/01/2024 16:31,22/01/2024 11:21,22/01/2024 11:07,22/01/2024 11:21,00:40:49,02:03:00,164:53:24,164:39:18,00:14:06,Able to afford with PAP scheme A,33.94955,65.4,30.4,6 (High),6.09754,4,4.84,4.84,4,7.2,7.2,7.2,7.2,4.8,5.6,5.6,4,4,4,403.302,Công nhân nhà máy,Không có / Chức vụ khác,Không,800.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
31,26FV,CONFIRMED,3,3,15/01/2024 15:49,15/01/2024 16:53,15/01/2024 16:55,26/01/2024 06:42,25/01/2024 18:52,26/01/2024 06:42,01:04:17,00:01:56,253:48:57,241:58:25,11:50:32,Able to afford with PAP scheme A,29.26672,30.4,20.3,5 (Upper),5.88779,2,2.42,2.42,2,6,6.4,6.8,8.4,2.8,4.4,5.2,3.6,3.6,4.2,170.5248,Bán buôn tự do,Không có / Chức vụ khác,Class 7,1.708.000,3,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
32,19UBDN,CONFIRMED,5,3,12/01/2024 14:20,15/01/2024 17:09,15/01/2024 17:35,01/02/2024 09:12,30/01/2024 12:19,01/02/2024 09:12,74:48:40,00:26:15,400:02:39,355:10:11,44:52:28,Able to afford with PAP scheme C,13.637003,15.4,10.2,3 (Middle),3.66096,3,3.63,3.63,3,3.8,3.8,3.8,3.8,3.8,3.8,3.8,2.2,3.8,3.2,287.271,Công chức nhà nước,Không có / Chức vụ khác,Không,205.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
33,3QD108,CONFIRMING,2,2,15/01/2024 16:17,15/01/2024 17:15,15/01/2024 17:36,16/01/2024 15:17,16/01/2024 13:10,,00:57:51,00:21:32,,19:55:31,,Able to afford with PAP scheme A,28.798628,30.4,20.3,5 (Upper),5.84145,3,3.63,3.63,4.6,6.2,7,7.4,7.4,3.8,5.4,6.2,4.6,6.2,6.2,261.37512,Công chức nhà nước,Nhân viên,Class 4,598.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
35,19UBDN,CONFIRMED,3,3,11/01/2024 12:38,15/01/2024 19:00,15/01/2024 20:16,23/01/2024 15:54,23/01/2024 15:19,23/01/2024 15:54,102:21:20,01:16:49,188:53:58,188:19:49,00:34:09,Able to afford with PAP scheme C,4.6731477,5.1,0.1,1 (Very Low),1.91463,1,1.21,1.21,1,1.8,2.2,2.2,2.2,1.8,1.8,1.8,1.8,3.4,3.4,66,Làm nông,Không có / Chức vụ khác,Class 7,137.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
36,26FV,CONFIRMED,2,2,15/01/2024 18:31,15/01/2024 19:02,15/01/2024 20:17,16/01/2024 17:24,16/01/2024 16:56,16/01/2024 17:24,00:30:25,01:15:03,22:22:31,21:53:57,00:28:34,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.19266,5,6.05,6.05,5,9,9.8,10.2,11.8,5.8,7.4,7.4,5.8,7.4,7.4,660,Lao động tự do,Không có / Chức vụ khác,Class 7,1.940.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
37,26FV,CONFIRMED,2,2,15/01/2024 11:55,15/01/2024 19:25,15/01/2024 20:17,16/01/2024 19:50,16/01/2024 16:20,16/01/2024 16:24,07:29:57,00:51:54,20:58:48,20:55:04,00:03:44,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.79753,5,6.05,7.25,5,5.8,6.6,7,8.6,5.8,7.4,8.2,6.6,6.6,6.6,660,Chủ doanh nghiệp,Chủ doanh nghiệp,Không,447.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
38,23UBHCM,CONFIRMED,3,2,15/01/2024 18:37,15/01/2024 19:27,15/01/2024 20:17,17/01/2024 11:34,17/01/2024 11:32,17/01/2024 11:34,00:50:09,00:50:17,40:07:13,40:05:24,00:01:49,Able to afford with PAP scheme B,14.981424,15.4,10.2,3 (Middle),3.9195,1,1.21,1.61,1,5,5.4,5.8,5.8,1.8,1.8,2.6,1,1,1,117.6,Công chức nhà nước,Quản lý cấp trung,Không,1.138.000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
39,22CR,CONFIRMING,3,3,15/01/2024 18:29,15/01/2024 19:32,15/01/2024 20:17,16/01/2024 17:17,16/01/2024 17:17,,01:03:26,00:44:57,,21:44:52,,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.80241,6,7.26,7.66,6.8,10.8,11.2,11.6,11.6,6.8,8.4,9.2,7.6,9.2,9.8,928.8,Bán buôn tự do,Quản lý cấp trung,Class 5,2.278.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản vay mua nhà, mua ô tô",0,0
41,25VMHCM,CONFIRMING,3,3,15/01/2024 21:58,15/01/2024 22:06,16/01/2024 11:37,22/01/2024 17:23,22/01/2024 17:23,,00:08:28,13:30:35,,163:16:42,,Able to afford with PAP scheme A,27.468351,30.4,20.3,5 (Upper),5.70974,3,3.63,4.83,3,4.6,5,5.4,7,3.8,3.8,3.8,2.2,2.2,2.2,240,Bán buôn tự do,Chủ doanh nghiệp,Không,575.000,3,Apple,Class 1,Có,,Sở hữu Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
42,1BVK,CONFIRMED,3,1,15/01/2024 21:37,15/01/2024 22:25,16/01/2024 11:45,17/01/2024 17:15,17/01/2024 11:51,17/01/2024 17:15,00:48:32,13:20:02,42:49:46,37:26:01,05:23:45,Able to afford with PAP scheme C,13.877998,15.4,10.2,3 (Middle),3.70731,2,2.42,2.42,2,4.4,4.8,4.8,4.8,2.8,2.8,2.8,1.2,1.2,1.2,138,Khác,Nhân viên,Không,658.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
43,1BVK,CONFIRMED,4,3,15/01/2024 13:03,15/01/2024 22:41,16/01/2024 09:46,17/01/2024 08:23,16/01/2024 19:20,17/01/2024 08:23,09:37:53,11:05:03,33:42:30,20:39:00,13:03:30,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.07803,5,5.2,5.2,5.4,7.8,7.8,8.2,8.2,5.8,7.4,8.2,8.2,8.2,8.2,516.815016,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Class 6,692.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
44,27DHYDHCM,CONFIRMED,3,3,15/01/2024 13:23,16/01/2024 07:49,16/01/2024 09:46,22/01/2024 10:43,22/01/2024 10:41,22/01/2024 10:43,18:26:32,01:56:30,146:54:12,146:52:10,00:02:02,Able to afford with PAP scheme B,16.117023,20.3,15.4,4 (Upper-Middle),4.14633,2,2.42,2.42,2,4.4,4.8,5.2,5.6,2.8,2.8,2.8,1.2,1.2,1.8,136.2,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,652.000,3,Apple,Class 3,Có,,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
45,26FV,CONFIRMING,3,3,16/01/2024 09:02,16/01/2024 10:13,16/01/2024 12:12,25/01/2024 15:37,25/01/2024 15:37,,01:10:13,01:59:36,,221:24:31,,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.0073,3,3.63,3.63,3,7,7.4,7.8,9.4,3.8,3.8,5.4,7,7,7,240,Bán buôn tự do,Không có / Chức vụ khác,Không,2.339.000,3,Apple,Class 1,Có,Class - 4 / 5,Sở hữu Nhà phố lớn,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
46,24QY175,CONFIRMING,3,3,13/01/2024 15:34,16/01/2024 10:20,16/01/2024 11:58,22/01/2024 10:44,22/01/2024 10:44,,66:46:12,01:38:03,,144:23:59,,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.52924,6,7.26,8.06,6,10,10.4,10.8,10.8,6.8,8.4,10,8.4,10,10.6,1440,Chủ doanh nghiệp,Quản lý cấp cao,Class 7,3.200.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố lớn,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản vay mua nhà, mua ô tô",0,0
47,19UBDN,CONFIRMED,2,2,15/01/2024 12:43,16/01/2024 10:28,16/01/2024 11:58,06/02/2024 11:06,06/02/2024 10:58,06/02/2024 11:06,21:45:10,01:30:23,504:38:02,504:29:49,00:08:13,Able to afford with PAP scheme C,11.163853,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2,2.8,3.6,3.6,3.6,2.8,4.4,4.4,2.8,2.8,2.8,145.2,Lao động tự do,Nhân viên,Không,150.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
