HH Profile_ID,14Q_Scheme,9Q_Scheme
611,Scheme 3,Scheme 3
612,Scheme 2,Scheme 2
613,Scheme 2,Scheme 2
614,Scheme 1,Scheme 1
615,Scheme 2,Scheme 3
616,Scheme 2,Scheme 2
617,Scheme 3,Scheme 3
618,Scheme 3,Scheme 3
619,Scheme 1,Scheme 1
620,Scheme 3,Scheme 3
621,Scheme 2,Scheme 3
622,Scheme 2,Scheme 3
623,Scheme 3,Scheme 3
624,Scheme 3,Scheme 3
625,Scheme 3,Scheme 3
626,Scheme 1,Scheme 1
628,Scheme 3,Scheme 3
630,Scheme 3,Scheme 3
631,Scheme 3,Scheme 3
632,Scheme 3,Scheme 3
633,Scheme 2,Scheme 2
635,Scheme 3,Scheme 3
636,Scheme 3,Scheme 3
637,Scheme 3,Scheme 3
638,Scheme 1,Scheme 1
639,Scheme 3,Scheme 3
641,Scheme 3,Scheme 3
643,Scheme 3,Scheme 3
644,Scheme 3,Scheme 3
645,Scheme 2,Scheme 3
646,Scheme 3,Scheme 3
648,Scheme 3,Scheme 3
649,Scheme 2,Scheme 3
650,Scheme 3,Scheme 3
651,Scheme 3,Scheme 3
653,Scheme 2,Scheme 2
654,Scheme 3,Scheme 3
655,Scheme 3,Scheme 3
659,Scheme 2,Scheme 2
660,Scheme 3,Scheme 3
664,Scheme 3,Scheme 3
665,Scheme 2,Scheme 3
666,Scheme 3,Scheme 3
667,Scheme 1,Scheme 1
668,Scheme 3,Scheme 3
669,Scheme 2,Scheme 3
670,Scheme 1,Scheme 1
671,Scheme 3,Scheme 3
672,Scheme 1,Scheme 1
673,Scheme 1,Scheme 1
675,Scheme 1,Scheme 2
678,Scheme 1,Scheme 2
679,Scheme 3,Scheme 3
680,Scheme 2,Scheme 2
682,Scheme 2,Scheme 3
683,Scheme 2,Scheme 2
684,Scheme 3,Scheme 3
686,Scheme 1,Scheme 1
687,Scheme 3,Scheme 3
689,Scheme 2,Scheme 3
691,Scheme 3,Scheme 3
692,Scheme 3,Scheme 3
694,Scheme 2,Scheme 3
696,Scheme 1,Scheme 2
698,Scheme 1,Scheme 1
699,Scheme 3,Scheme 3
700,Scheme 3,Scheme 3
701,Scheme 3,Scheme 3
702,Scheme 2,Scheme 2
703,Scheme 2,Scheme 2
705,Scheme 2,Scheme 2
706,Scheme 3,Scheme 3
707,Scheme 3,Scheme 3
708,Scheme 2,Scheme 2
709,Scheme 2,Scheme 3
712,Scheme 3,Scheme 3
713,Scheme 1,Scheme 1
714,Scheme 2,Scheme 2
715,Scheme 3,Scheme 3
716,Scheme 3,Scheme 3
717,Scheme 2,Scheme 2
718,Scheme 2,Scheme 2
719,Scheme 3,Scheme 3
720,Scheme 2,Scheme 2
721,Scheme 3,Scheme 3
722,Scheme 1,Scheme 1
723,Scheme 2,Scheme 2
725,Scheme 2,Scheme 3
727,Scheme 3,Scheme 3
728,Scheme 3,Scheme 3
730,Scheme 3,Scheme 3
731,Scheme 3,Scheme 3
732,Scheme 3,Scheme 3
733,Scheme 3,Scheme 3
735,Scheme 2,Scheme 2
736,Scheme 1,Scheme 1
737,Scheme 3,Scheme 3
738,Scheme 3,Scheme 3
740,Scheme 1,Scheme 1
742,Scheme 3,Scheme 3
743,Scheme 3,Scheme 3
745,Scheme 2,Scheme 2
746,Scheme 3,Scheme 3
747,Scheme 3,Scheme 3
749,Scheme 1,Scheme 2
750,Scheme 3,Scheme 3
751,Scheme 2,Scheme 3
752,Scheme 3,Scheme 3
753,Scheme 3,Scheme 3
754,Scheme 1,Scheme 2
755,Scheme 1,Scheme 2
757,Scheme 1,Scheme 1
758,Scheme 3,Scheme 3
759,Scheme 3,Scheme 3
760,Scheme 2,Scheme 2
762,Scheme 3,Scheme 3
763,Scheme 2,Scheme 2
764,Scheme 3,Scheme 3
766,Scheme 2,Scheme 2
769,Scheme 3,Scheme 3
770,Scheme 3,Scheme 3
771,Scheme 3,Scheme 3
774,Scheme 1,Scheme 1
775,Scheme 1,Scheme 2
776,Scheme 3,Scheme 3
777,Scheme 3,Scheme 3
781,Scheme 1,Scheme 1
782,Scheme 3,Scheme 3
783,Scheme 3,Scheme 3
785,Scheme 3,Scheme 3
786,Scheme 2,Scheme 3
787,Scheme 2,Scheme 2
788,Scheme 3,Scheme 3
790,Scheme 1,Scheme 1
793,Scheme 3,Scheme 3
794,Scheme 1,Scheme 1
796,Scheme 3,Scheme 3
798,Scheme 2,Scheme 2
799,Scheme 1,Scheme 1
801,Scheme 2,Scheme 2
803,Scheme 1,Scheme 1
804,Scheme 2,Scheme 2
805,Scheme 3,Scheme 3
806,Scheme 1,Scheme 1
809,Scheme 1,Scheme 1
810,Scheme 2,Scheme 3
811,Scheme 3,Scheme 3
813,Scheme 2,Scheme 3
814,Scheme 1,Scheme 1
815,Scheme 3,Scheme 3
816,Scheme 2,Scheme 3
817,Scheme 3,Scheme 3
818,Scheme 2,Scheme 3
821,Scheme 3,Scheme 3
822,Scheme 3,Scheme 3
823,Scheme 3,Scheme 3
824,Scheme 3,Scheme 3
825,Scheme 2,Scheme 2
829,Scheme 1,Scheme 1
831,Scheme 3,Scheme 3
832,Scheme 3,Scheme 3
833,Scheme 2,Scheme 2
835,Scheme 3,Scheme 3
836,Scheme 3,Scheme 3
837,Scheme 3,Scheme 3
839,Scheme 2,Scheme 2
841,Scheme 1,Scheme 2
842,Scheme 1,Scheme 1
845,Scheme 1,Scheme 1
846,Scheme 3,Scheme 3
847,Scheme 3,Scheme 3
848,Scheme 2,Scheme 3
849,Scheme 2,Scheme 2
850,Scheme 3,Scheme 3
851,Scheme 2,Scheme 3
853,Scheme 1,Scheme 2
854,Scheme 1,Scheme 2
855,Scheme 3,Scheme 3
856,Scheme 2,Scheme 2
858,Scheme 2,Scheme 2
859,Scheme 3,Scheme 3
860,Scheme 3,Scheme 3
861,Scheme 1,Scheme 1
862,Scheme 3,Scheme 3
863,Scheme 3,Scheme 3
865,Scheme 2,Scheme 2
866,Scheme 3,Scheme 3
867,Scheme 3,Scheme 3
868,Scheme 3,Scheme 3
869,Scheme 3,Scheme 3
871,Scheme 3,Scheme 3
877,Scheme 3,Scheme 3
879,Scheme 3,Scheme 3
880,Scheme 3,Scheme 3
882,Scheme 3,Scheme 3
883,Scheme 3,Scheme 3
884,Scheme 3,Scheme 3
886,Scheme 2,Scheme 2
888,Scheme 3,Scheme 3
889,Scheme 3,Scheme 3
890,Scheme 2,Scheme 3
891,Scheme 3,Scheme 3
892,Scheme 2,Scheme 2
895,Scheme 2,Scheme 2
896,Scheme 2,Scheme 2
897,Scheme 3,Scheme 3
898,Scheme 3,Scheme 3
900,Scheme 1,Scheme 2
902,Scheme 1,Scheme 1
906,Scheme 3,Scheme 3
907,Scheme 3,Scheme 3
908,Scheme 3,Scheme 3
909,Scheme 3,Scheme 3
910,Scheme 3,Scheme 3
911,Scheme 3,Scheme 3
913,Scheme 3,Scheme 3
914,Scheme 2,Scheme 3
915,Scheme 3,Scheme 3
916,Scheme 2,Scheme 3
917,Scheme 1,Scheme 1
918,Scheme 3,Scheme 3
919,Scheme 2,Scheme 3
921,Scheme 2,Scheme 2
922,Scheme 2,Scheme 3
924,Scheme 3,Scheme 3
925,Scheme 3,Scheme 3
927,Scheme 3,Scheme 3
928,Scheme 1,Scheme 1
929,Scheme 3,Scheme 3
932,Scheme 3,Scheme 3
934,Scheme 3,Scheme 3
935,Scheme 3,Scheme 3
936,Scheme 3,Scheme 3
937,Scheme 2,Scheme 3
938,Scheme 2,Scheme 2
939,Scheme 2,Scheme 2
942,Scheme 3,Scheme 3
943,Scheme 1,Scheme 1
944,Scheme 1,Scheme 1
945,Scheme 2,Scheme 2
946,Scheme 1,Scheme 2
949,Scheme 3,Scheme 3
950,Scheme 3,Scheme 3
951,Scheme 2,Scheme 2
952,Scheme 3,Scheme 3
953,Scheme 1,Scheme 1
958,Scheme 3,Scheme 3
960,Scheme 2,Scheme 2
961,Scheme 3,Scheme 3
962,Scheme 3,Scheme 3
965,Scheme 1,Scheme 1
966,Scheme 1,Scheme 1
969,Scheme 3,Scheme 3
970,Scheme 3,Scheme 3
973,Scheme 3,Scheme 3
974,Scheme 2,Scheme 3
976,Scheme 3,Scheme 3
977,Scheme 1,Scheme 2
979,Scheme 3,Scheme 3
980,Scheme 3,Scheme 3
981,Scheme 2,Scheme 3
982,Scheme 1,Scheme 2
983,Scheme 2,Scheme 2
984,Scheme 2,Scheme 2
985,Scheme 1,Scheme 1
986,Scheme 3,Scheme 3
987,Scheme 3,Scheme 3
989,Scheme 2,Scheme 2
991,Scheme 3,Scheme 3
992,Scheme 3,Scheme 3
993,Scheme 3,Scheme 3
994,Scheme 1,Scheme 2
995,Scheme 1,Scheme 1
996,Scheme 2,Scheme 2
997,Scheme 3,Scheme 3
998,Scheme 1,Scheme 2
999,Scheme 2,Scheme 3
1000,Scheme 2,Scheme 2
1002,Scheme 2,Scheme 2
1007,Scheme 2,Scheme 2
1008,Scheme 2,Scheme 2
1009,Scheme 1,Scheme 1
1010,Scheme 2,Scheme 3
1011,Scheme 3,Scheme 3
1012,Scheme 2,Scheme 2
1014,Scheme 1,Scheme 1
1018,Scheme 3,Scheme 3
1019,Scheme 2,Scheme 2
1020,Scheme 2,Scheme 2
1021,Scheme 3,Scheme 3
1022,Scheme 2,Scheme 2
1023,Scheme 2,Scheme 3
1026,Scheme 3,Scheme 3
1027,Scheme 2,Scheme 2
1028,Scheme 3,Scheme 3
1031,Scheme 2,Scheme 3
1032,Scheme 3,Scheme 3
1033,Scheme 1,Scheme 1
1034,Scheme 3,Scheme 3
1037,Scheme 2,Scheme 2
1038,Scheme 2,Scheme 2
1039,Scheme 2,Scheme 2
1040,Scheme 2,Scheme 2
1042,Scheme 2,Scheme 2
1043,Scheme 3,Scheme 3
1044,Scheme 3,Scheme 3
1045,Scheme 1,Scheme 1
1047,Scheme 2,Scheme 2
1048,Scheme 2,Scheme 2
1050,Scheme 3,Scheme 3
1052,Scheme 3,Scheme 3
1054,Scheme 1,Scheme 1
1056,Scheme 3,Scheme 3
1057,Scheme 2,Scheme 3
1059,Scheme 2,Scheme 3
1061,Scheme 1,Scheme 1
1063,Scheme 3,Scheme 3
1064,Scheme 1,Scheme 2
1065,Scheme 3,Scheme 3
1066,Scheme 1,Scheme 1
1067,Scheme 3,Scheme 3
1068,Scheme 3,Scheme 3
1070,Scheme 3,Scheme 3
1071,Scheme 2,Scheme 2
1072,Scheme 3,Scheme 3
1073,Scheme 2,Scheme 2
1074,Scheme 2,Scheme 2
1075,Scheme 2,Scheme 2
1077,Scheme 2,Scheme 2
1078,Scheme 2,Scheme 2
1079,Scheme 3,Scheme 3
1081,Scheme 2,Scheme 3
1082,Scheme 3,Scheme 3
1083,Scheme 1,Scheme 1
1086,Scheme 2,Scheme 2
1095,Scheme 3,Scheme 3
1096,Scheme 3,Scheme 3
1097,Scheme 2,Scheme 2
1098,Scheme 2,Scheme 2
1099,Scheme 2,Scheme 3
1100,Scheme 2,Scheme 2
1103,Scheme 2,Scheme 2
1104,Scheme 3,Scheme 3
1110,Scheme 1,Scheme 1
1111,Scheme 3,Scheme 3
1112,Scheme 1,Scheme 2
1115,Scheme 3,Scheme 3
1116,Scheme 1,Scheme 1
1117,Scheme 2,Scheme 2
1118,Scheme 2,Scheme 2
1119,Scheme 2,Scheme 2
1120,Scheme 2,Scheme 2
1121,Scheme 2,Scheme 2
1123,Scheme 2,Scheme 2
1126,Scheme 1,Scheme 1
1130,Scheme 2,Scheme 3
1131,Scheme 2,Scheme 3
1132,Scheme 3,Scheme 3
1134,Scheme 3,Scheme 3
1135,Scheme 1,Scheme 1
1140,Scheme 2,Scheme 2
1141,Scheme 1,Scheme 1
1144,Scheme 2,Scheme 2
1149,Scheme 1,Scheme 1
1150,Scheme 1,Scheme 1
1157,Scheme 2,Scheme 2
1159,Scheme 3,Scheme 3
1165,Scheme 2,Scheme 3
1167,Scheme 2,Scheme 3
1168,Scheme 3,Scheme 3
1170,Scheme 2,Scheme 3
1175,Scheme 2,Scheme 3
1176,Scheme 1,Scheme 1
1177,Scheme 1,Scheme 2
1178,Scheme 2,Scheme 2
1179,Scheme 1,Scheme 1
1181,Scheme 1,Scheme 2
1182,Scheme 1,Scheme 1
1185,Scheme 2,Scheme 2
1186,Scheme 2,Scheme 2
1189,Scheme 2,Scheme 2
1190,Scheme 1,Scheme 1
1196,Scheme 3,Scheme 3
1199,Scheme 1,Scheme 1
1200,Scheme 1,Scheme 2
1202,Scheme 2,Scheme 2
1203,Scheme 3,Scheme 3
1205,Scheme 1,Scheme 1
1206,Scheme 1,Scheme 2
1207,Scheme 1,Scheme 1
1210,Scheme 1,Scheme 2
1212,Scheme 1,Scheme 1
1214,Scheme 2,Scheme 2
1218,Scheme 3,Scheme 3
